Geneid	JH01_A01	JH01_A02	JH01_A03	JH01_A04	JH01_A05	JH01_A06	JH02_A01	JH02_A02	JH02_A03	JH02_A04	JH02_A05	JH02_A06	JH01_B01	JH01_B02	JH01_B03	JH01_B04	JH01_B05	JH01_B06	JH02_B01	JH02_B02	JH02_B03	JH02_B04	JH02_B05	JH02_B06	JH01_C01	JH01_C02	JH01_C03	JH01_C04	JH01_C05	JH01_C06	JH02_C01	JH02_C02	JH02_C03	JH02_C04	JH02_C05	JH02_C06
AS_IGR:(CDS,b1617,uidA,beta-D-glucuronidase,cds1605,-,1811/CDS,b1618,uidR,transcriptional_repressor,cds1606,-,590):+:339:NC_000913.3	51	88	191	85	44	95	101	375	405	171	131	140	67	56	103	62	123	45	69	163	337	112	63	86	119	62	231	45	36	82	93	56	71	112	72	90
CDS:b1618:uidR:transcriptional_repressor:cds1606:-:590:NC_000913.3	788	1249	2669	1572	940	1894	1513	6028	7019	2861	2761	3173	1363	853	1840	1338	2696	1552	1533	2817	4230	2145	1363	1949	1566	1051	3613	760	936	2321	1674	747	1178	2267	1349	2014
AS_CDS:b1618:uidR:transcriptional_repressor:cds1606:-:590:NC_000913.3	4	9	17	21	26	52	15	104	90	57	64	30	35	17	48	14	77	51	23	52	73	26	43	40	31	27	60	22	39	56	22	9	25	54	29	54
IGR:(CDS,b1618,uidR,transcriptional_repressor,cds1606,-,590/CDS,b1619,hdhA,7-alpha-hydroxysteroid_dehydrogenase%2C_NAD-dependent,cds1607,-,767):+:169:NC_000913.3	11	1	20	19	42	56	11	45	64	23	10	23	15	3	23	38	102	100	17	14	27	9	3	27	16	12	64	30	48	132	16	0	16	18	9	17
AS_IGR:(CDS,b1618,uidR,transcriptional_repressor,cds1606,-,590/CDS,b1619,hdhA,7-alpha-hydroxysteroid_dehydrogenase%2C_NAD-dependent,cds1607,-,767):+:169:NC_000913.3	47	70	143	155	273	670	95	306	298	144	234	293	66	47	126	232	712	638	75	130	184	133	100	177	70	69	260	200	295	742	97	42	61	187	153	165
CDS:b1619:hdhA:7-alpha-hydroxysteroid_dehydrogenase%2C_NAD-dependent:cds1607:-:767:NC_000913.3	255	355	1046	1082	4308	12437	301	1403	1788	992	1565	2648	274	339	1175	3395	14405	12910	263	623	1011	1147	808	2009	250	738	1493	2948	4310	12305	313	269	377	1146	1361	1470
AS_CDS:b1619:hdhA:7-alpha-hydroxysteroid_dehydrogenase%2C_NAD-dependent:cds1607:-:767:NC_000913.3	30	10	47	25	72	208	13	44	63	32	21	41	30	5	34	88	352	272	34	34	65	20	17	43	15	19	112	73	141	298	21	7	13	35	21	23
IGR:(CDS,b1619,hdhA,7-alpha-hydroxysteroid_dehydrogenase%2C_NAD-dependent,cds1607,-,767/CDS,b1620,malI,transcriptional_repressor_of_Mal_regulon,cds1608,-,1028):+:60:NC_000913.3	0	0	2	3	1	5	1	3	3	1	0	1	2	0	0	2	10	7	2	1	2	1	1	1	1	0	2	0	3	2	2	5	0	3	0	1
AS_IGR:(CDS,b1619,hdhA,7-alpha-hydroxysteroid_dehydrogenase%2C_NAD-dependent,cds1607,-,767/CDS,b1620,malI,transcriptional_repressor_of_Mal_regulon,cds1608,-,1028):+:60:NC_000913.3	20	14	53	47	382	1277	20	46	45	27	37	58	14	24	47	274	883	898	14	26	47	27	20	36	24	56	67	269	327	944	10	10	14	27	31	23
CDS:b1620:malI:transcriptional_repressor_of_Mal_regulon:cds1608:-:1028:NC_000913.3	168	109	259	182	255	845	344	594	528	247	188	190	220	90	209	290	663	519	254	307	467	266	126	131	251	95	337	221	230	729	339	68	140	170	200	189
AS_CDS:b1620:malI:transcriptional_repressor_of_Mal_regulon:cds1608:-:1028:NC_000913.3	8	13	9	19	6	35	14	26	72	31	6	11	14	2	18	11	27	26	21	19	19	7	6	26	7	11	19	15	11	68	14	12	14	39	1	13
IGR:(CDS,b1620,malI,transcriptional_repressor_of_Mal_regulon,cds1608,-,1028/CDS,b1621,malX,maltose_and_glucose-specific_PTS_enzyme_IIB_component_and_IIC_component,cds1609,+,1592):+:133:NC_000913.3	0	1	2	3	0	0	1	2	1	3	1	2	3	3	1	1	2	1	2	3	2	3	0	1	3	0	7	0	0	0	5	1	2	1	0	1
AS_IGR:(CDS,b1620,malI,transcriptional_repressor_of_Mal_regulon,cds1608,-,1028/CDS,b1621,malX,maltose_and_glucose-specific_PTS_enzyme_IIB_component_and_IIC_component,cds1609,+,1592):+:133:NC_000913.3	15	9	19	20	6	27	35	71	57	26	16	17	25	5	11	21	14	7	28	21	31	19	5	10	19	5	33	11	13	41	40	3	14	31	15	10
CDS:b1621:malX:maltose_and_glucose-specific_PTS_enzyme_IIB_component_and_IIC_component:cds1609:+:1592:NC_000913.3	112	295	630	414	327	363	230	1211	623	450	996	673	186	262	458	427	580	315	164	868	657	1008	331	618	479	225	739	185	104	334	235	174	144	797	456	599
AS_CDS:b1621:malX:maltose_and_glucose-specific_PTS_enzyme_IIB_component_and_IIC_component:cds1609:+:1592:NC_000913.3	56	54	133	120	84	214	110	206	331	152	106	249	77	44	147	133	202	195	126	151	182	86	89	140	67	34	160	52	128	278	107	40	20	103	97	124
CDS:b1622:malY:PLP-dependent_beta-cystathionase_and_maltose_regulon_regulator:cds1610:+:1172:NC_000913.3	215	360	828	716	381	706	340	1457	1065	729	1258	1103	318	364	700	645	811	526	345	1041	880	1109	460	905	537	471	864	203	328	625	317	249	259	1065	807	951
AS_CDS:b1622:malY:PLP-dependent_beta-cystathionase_and_maltose_regulon_regulator:cds1610:+:1172:NC_000913.3	15	5	24	21	6	32	22	42	66	13	30	25	44	3	8	7	32	19	27	8	23	9	5	17	19	9	28	7	21	22	13	8	11	16	17	41
IGR:(CDS,b1622,malY,PLP-dependent_beta-cystathionase_and_maltose_regulon_regulator,cds1610,+,1172/CDS,b1623,add,adenosine_deaminase,cds1611,+,1001):+:52:NC_000913.3	22	35	84	70	38	51	25	129	79	69	118	91	24	37	48	42	69	42	17	72	44	92	28	57	48	40	79	23	23	47	28	33	34	80	65	61
AS_IGR:(CDS,b1622,malY,PLP-dependent_beta-cystathionase_and_maltose_regulon_regulator,cds1610,+,1172/CDS,b1623,add,adenosine_deaminase,cds1611,+,1001):+:52:NC_000913.3	5	8	14	8	3	15	15	21	10	11	19	9	16	3	3	3	9	6	9	6	5	2	2	2	2	11	18	4	2	6	9	3	4	15	10	5
CDS:b1623:add:adenosine_deaminase:cds1611:+:1001:NC_000913.3	686	180	748	292	614	1076	911	1618	1503	427	1171	1479	954	266	688	307	1118	970	763	1478	1082	433	598	1092	541	468	964	209	561	1276	756	289	741	543	959	1342
AS_CDS:b1623:add:adenosine_deaminase:cds1611:+:1001:NC_000913.3	83	61	104	126	58	147	93	139	160	155	169	135	86	56	66	68	165	131	128	105	122	110	62	127	56	89	210	61	84	166	82	33	72	174	146	103
CDS:b1624:ydgJ:putative_oxidoreductase:cds1612:-:1040:NC_000913.3	373	307	641	728	425	969	489	1144	1346	858	790	861	585	353	552	660	913	694	649	719	895	695	376	750	375	534	1306	240	485	895	610	312	428	906	722	632
AS_CDS:b1624:ydgJ:putative_oxidoreductase:cds1612:-:1040:NC_000913.3	100	22	95	81	106	193	137	151	187	92	115	201	170	33	91	52	184	146	103	187	146	68	62	163	63	61	142	69	142	213	84	27	114	75	150	190
IGR:(CDS,b1624,ydgJ,putative_oxidoreductase,cds1612,-,1040/CDS,b4409,blr,beta-lactam_resistance_membrane_protein%3B_divisome-associated_protein,cds1613,+,125):+:201:NC_000913.3	36	15	46	41	27	43	42	70	203	88	47	35	45	12	50	24	66	40	58	37	99	43	14	19	20	43	135	17	36	68	45	25	51	40	15	19
AS_IGR:(CDS,b1624,ydgJ,putative_oxidoreductase,cds1612,-,1040/CDS,b4409,blr,beta-lactam_resistance_membrane_protein%3B_divisome-associated_protein,cds1613,+,125):+:201:NC_000913.3	22	12	27	21	16	40	19	53	57	32	19	22	19	9	15	20	25	20	36	16	30	22	8	14	18	11	54	7	17	27	35	8	14	32	14	14
CDS:b4409:blr:beta-lactam_resistance_membrane_protein%3B_divisome-associated_protein:cds1613:+:125:NC_000913.3	314	212	459	425	258	452	459	735	2143	983	435	322	486	140	468	218	575	391	612	325	1088	386	150	207	216	496	1359	169	298	566	524	246	500	425	155	98
AS_CDS:b4409:blr:beta-lactam_resistance_membrane_protein%3B_divisome-associated_protein:cds1613:+:125:NC_000913.3	6	0	0	0	0	5	12	9	10	0	4	1	9	2	1	5	6	1	8	0	5	1	2	0	4	6	12	0	2	3	2	1	0	1	1	2
IGR:(CDS,b4409,blr,beta-lactam_resistance_membrane_protein%3B_divisome-associated_protein,cds1613,+,125/CDS,b1625,cnu,nucleoid-associated_oriC-binding_protein%3B_H-NS_and_StpA_stabilizing_factor,cds1614,+,215):+:221:NC_000913.3	263	202	284	311	240	679	470	675	2036	944	375	164	423	117	319	165	497	527	534	309	1135	259	111	154	202	314	1094	125	387	745	448	184	294	316	153	47
AS_IGR:(CDS,b4409,blr,beta-lactam_resistance_membrane_protein%3B_divisome-associated_protein,cds1613,+,125/CDS,b1625,cnu,nucleoid-associated_oriC-binding_protein%3B_H-NS_and_StpA_stabilizing_factor,cds1614,+,215):+:221:NC_000913.3	4	2	9	1	1	4	17	16	33	6	24	0	7	10	4	7	17	4	12	5	9	0	2	0	17	22	28	2	7	16	4	5	7	21	1	3
CDS:b1625:cnu:nucleoid-associated_oriC-binding_protein%3B_H-NS_and_StpA_stabilizing_factor:cds1614:+:215:NC_000913.3	182	108	144	148	84	360	338	412	1129	394	148	61	311	56	124	60	226	290	347	168	633	61	42	53	97	200	374	90	241	515	359	130	76	107	38	18
AS_CDS:b1625:cnu:nucleoid-associated_oriC-binding_protein%3B_H-NS_and_StpA_stabilizing_factor:cds1614:+:215:NC_000913.3	4	2	6	1	2	1	6	4	20	16	20	0	3	1	0	6	7	3	5	6	6	0	1	4	4	2	10	1	5	1	10	1	9	11	1	8
IGR:(CDS,b1625,cnu,nucleoid-associated_oriC-binding_protein%3B_H-NS_and_StpA_stabilizing_factor,cds1614,+,215/CDS,b1626,ydgK,DUF2569_family_inner_membrane_protein,cds1615,+,440):+:34:NC_000913.3	46	25	28	18	12	53	62	65	138	41	19	10	69	15	19	13	34	36	69	31	83	15	8	6	20	32	55	10	29	49	62	25	12	26	6	9
AS_IGR:(CDS,b1625,cnu,nucleoid-associated_oriC-binding_protein%3B_H-NS_and_StpA_stabilizing_factor,cds1614,+,215/CDS,b1626,ydgK,DUF2569_family_inner_membrane_protein,cds1615,+,440):+:34:NC_000913.3	1	1	2	1	0	3	1	2	4	1	4	0	0	0	1	1	1	1	3	1	3	1	1	1	2	1	2	0	1	0	2	0	1	3	1	1
CDS:b1626:ydgK:DUF2569_family_inner_membrane_protein:cds1615:+:440:NC_000913.3	1394	716	812	450	338	1184	1951	2060	3031	581	745	543	2185	525	469	335	658	587	2077	1144	1402	469	280	260	652	1242	1519	289	620	784	2114	658	389	833	370	295
AS_CDS:b1626:ydgK:DUF2569_family_inner_membrane_protein:cds1615:+:440:NC_000913.3	6	10	17	6	5	33	11	29	50	20	12	18	26	6	6	9	13	6	21	10	47	5	4	2	7	10	17	21	5	8	19	4	7	25	7	6
IGR:(CDS,b1626,ydgK,DUF2569_family_inner_membrane_protein,cds1615,+,440/CDS,b1627,rsxA,SoxR_iron-sulfur_cluster_reduction_factor_component%3B_inner_membrane_protein_of_electron_transport_complex,cds1616,+,581):+:25:NC_000913.3	41	27	32	22	18	41	65	97	133	23	33	27	64	17	19	16	34	19	79	43	54	21	14	13	28	41	77	14	27	31	89	28	19	43	15	13
AS_IGR:(CDS,b1626,ydgK,DUF2569_family_inner_membrane_protein,cds1615,+,440/CDS,b1627,rsxA,SoxR_iron-sulfur_cluster_reduction_factor_component%3B_inner_membrane_protein_of_electron_transport_complex,cds1616,+,581):+:25:NC_000913.3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDS:b1627:rsxA:SoxR_iron-sulfur_cluster_reduction_factor_component%3B_inner_membrane_protein_of_electron_transport_complex:cds1616:+:581:NC_000913.3	1224	693	442	320	160	392	1531	1430	1397	294	319	285	1434	387	286	183	291	206	1519	860	524	262	115	171	366	943	1154	102	171	219	1317	555	367	428	182	123
AS_CDS:b1627:rsxA:SoxR_iron-sulfur_cluster_reduction_factor_component%3B_inner_membrane_protein_of_electron_transport_complex:cds1616:+:581:NC_000913.3	0	1	0	0	0	0	0	3	4	2	0	0	0	0	1	0	0	0	4	7	7	0	0	0	0	0	2	0	0	0	0	0	0	0	6	5
CDS:b1628:rsxB:SoxR_iron-sulfur_cluster_reduction_factor_component%3B_putative_iron-sulfur_protein:cds1617:+:578:NC_000913.3	619	276	326	184	162	290	783	455	486	254	230	154	921	218	167	134	223	168	688	571	319	165	78	108	143	512	699	95	162	197	698	363	241	284	142	91
AS_CDS:b1628:rsxB:SoxR_iron-sulfur_cluster_reduction_factor_component%3B_putative_iron-sulfur_protein:cds1617:+:578:NC_000913.3	0	0	1	0	0	2	0	5	7	2	3	2	1	0	6	0	4	3	4	1	11	0	1	1	0	2	2	2	2	1	8	0	0	1	6	3
CDS:b1629:rsxC:SoxR_iron-sulfur_cluster_reduction_factor_component%3B_putative_membrane-associated_NADH_oxidoreductase_of_electron_transport_complex:cds1618:+:2222:NC_000913.3	1836	716	651	433	348	625	2212	1496	1690	586	606	384	2853	643	609	328	532	387	2451	1424	1127	479	200	202	714	1497	1666	206	328	427	1755	844	569	675	316	219
AS_CDS:b1629:rsxC:SoxR_iron-sulfur_cluster_reduction_factor_component%3B_putative_membrane-associated_NADH_oxidoreductase_of_electron_transport_complex:cds1618:+:2222:NC_000913.3	61	30	95	130	137	264	151	236	254	198	147	210	96	19	51	70	223	183	135	64	104	38	59	75	35	64	148	41	130	284	99	33	108	137	87	111
CDS:b1630:rsxD:SoxR_iron-sulfur_cluster_reduction_factor_component%3B_putative_membrane_protein_of_electron_transport_complex:cds1619:+:1058:NC_000913.3	930	370	349	315	197	311	1248	839	1206	455	365	232	1312	251	423	215	465	296	1245	844	1096	210	151	99	372	684	1102	130	214	232	1197	353	290	395	231	146
AS_CDS:b1630:rsxD:SoxR_iron-sulfur_cluster_reduction_factor_component%3B_putative_membrane_protein_of_electron_transport_complex:cds1619:+:1058:NC_000913.3	2	5	3	1	5	12	0	16	9	11	10	8	0	0	2	2	16	9	4	12	7	6	2	2	0	2	16	10	3	6	2	0	11	8	4	7
CDS:b1631:rsxG:SoxR_iron-sulfur_cluster_reduction_factor_component%3B_putative_membrane_protein_of_electron_transport_complex:cds1620:+:620:NC_000913.3	658	245	244	205	118	202	773	568	899	240	245	175	955	181	326	107	283	151	860	571	904	166	113	84	244	416	597	49	149	170	683	285	202	231	101	43
AS_CDS:b1631:rsxG:SoxR_iron-sulfur_cluster_reduction_factor_component%3B_putative_membrane_protein_of_electron_transport_complex:cds1620:+:620:NC_000913.3	2	0	3	3	2	4	13	3	17	5	1	2	1	1	1	4	11	8	1	0	8	8	1	6	1	3	3	9	0	7	0	0	5	2	0	24
CDS:b1632:rsxE:SoxR_iron-sulfur_cluster_reduction_factor_component%3B_electron_transport_inner_membrane_NADH-quinone_reductase:cds1621:+:695:NC_000913.3	612	247	289	265	93	203	948	524	1062	212	224	169	991	187	310	67	214	134	937	655	831	131	102	130	226	429	567	66	82	170	650	214	206	126	191	66
AS_CDS:b1632:rsxE:SoxR_iron-sulfur_cluster_reduction_factor_component%3B_electron_transport_inner_membrane_NADH-quinone_reductase:cds1621:+:695:NC_000913.3	8	1	8	14	8	7	8	24	26	23	16	14	3	4	4	9	17	21	6	3	14	14	11	16	2	11	16	5	11	24	4	4	25	22	6	15
CDS:b1633:nth:DNA_glycosylase_and_apyrimidinic_AP_lyase_endonuclease_III:cds1622:+:635:NC_000913.3	963	488	356	246	135	322	1254	1040	1528	374	258	181	1420	251	428	99	348	197	1366	999	1242	249	110	120	475	714	791	92	136	270	1135	372	239	277	185	123
AS_CDS:b1633:nth:DNA_glycosylase_and_apyrimidinic_AP_lyase_endonuclease_III:cds1622:+:635:NC_000913.3	12	7	19	39	28	104	11	96	50	17	30	78	31	14	13	46	70	53	28	27	32	51	23	75	10	31	60	36	69	120	33	10	10	53	41	31
IGR:(CDS,b1633,nth,DNA_glycosylase_and_apyrimidinic_AP_lyase_endonuclease_III,cds1622,+,635/CDS,b1634,dtpA,dipeptide_and_tripeptide_permease_A,cds1623,+,1502):+:559:NC_000913.3	1081	427	547	412	141	131	1550	1244	1005	470	350	114	1395	281	501	149	145	71	1537	784	530	215	70	38	555	605	1191	94	113	77	1275	684	490	433	78	75
AS_IGR:(CDS,b1633,nth,DNA_glycosylase_and_apyrimidinic_AP_lyase_endonuclease_III,cds1622,+,635/CDS,b1634,dtpA,dipeptide_and_tripeptide_permease_A,cds1623,+,1502):+:559:NC_000913.3	11	10	31	31	64	258	23	89	95	71	90	127	31	18	36	70	199	134	42	44	61	49	43	138	5	51	135	82	152	360	38	8	28	109	95	171
CDS:b1634:dtpA:dipeptide_and_tripeptide_permease_A:cds1623:+:1502:NC_000913.3	9298	2820	5050	3775	1145	1199	11730	11288	9281	4395	3704	1251	12858	2619	5634	1646	1585	688	13195	8061	5821	3444	779	600	4596	4969	8689	719	530	758	10419	4498	3416	4961	1118	744
AS_CDS:b1634:dtpA:dipeptide_and_tripeptide_permease_A:cds1623:+:1502:NC_000913.3	26	7	26	31	23	69	45	51	49	35	29	24	28	2	22	15	70	57	35	29	21	16	7	20	17	4	40	9	48	103	28	7	20	40	27	13
IGR:(CDS,b1634,dtpA,dipeptide_and_tripeptide_permease_A,cds1623,+,1502/CDS,b1635,gstA,glutathionine_S-transferase,cds1624,+,605):+:54:NC_000913.3	521	114	270	254	108	101	477	629	662	293	297	90	804	111	272	95	112	62	552	372	309	224	35	50	231	226	390	65	40	98	664	194	181	292	85	62
AS_IGR:(CDS,b1634,dtpA,dipeptide_and_tripeptide_permease_A,cds1623,+,1502/CDS,b1635,gstA,glutathionine_S-transferase,cds1624,+,605):+:54:NC_000913.3	19	3	5	7	9	18	37	17	34	16	10	9	28	1	6	5	13	13	22	14	13	6	2	6	4	12	51	5	7	24	33	9	23	10	9	10
CDS:b1635:gstA:glutathionine_S-transferase:cds1624:+:605:NC_000913.3	281	181	506	768	717	2169	322	878	1462	1345	1123	2485	318	114	457	997	2076	1697	427	410	1069	996	645	1862	196	347	1638	517	996	2592	305	220	486	747	1442	1902
AS_CDS:b1635:gstA:glutathionine_S-transferase:cds1624:+:605:NC_000913.3	100	41	82	58	15	45	150	125	159	109	68	85	133	36	49	26	53	37	120	98	98	41	20	34	44	90	218	24	25	77	125	92	92	63	53	55
CDS:b1636:pdxY:pyridoxamine_kinase:cds1625:-:863:NC_000913.3	695	572	865	676	270	565	1238	1749	1778	1410	885	856	955	494	707	322	673	412	1045	1072	1375	548	263	408	544	979	1567	161	304	584	774	598	543	606	540	486
AS_CDS:b1636:pdxY:pyridoxamine_kinase:cds1625:-:863:NC_000913.3	85	60	169	279	332	730	148	320	517	429	350	709	106	33	201	326	880	576	118	156	446	340	221	539	122	128	578	183	299	848	131	81	201	258	418	570
IGR:(CDS,b1636,pdxY,pyridoxamine_kinase,cds1625,-,863/CDS,b1637,tyrS,tyrosyl-tRNA_synthetase,cds1626,-,1274):+:7:NC_000913.3	1	1	1	1	1	1	2	2	3	1	1	1	3	1	1	1	2	2	4	1	2	1	0	1	1	1	3	1	1	1	3	0	1	0	1	0
AS_IGR:(CDS,b1636,pdxY,pyridoxamine_kinase,cds1625,-,863/CDS,b1637,tyrS,tyrosyl-tRNA_synthetase,cds1626,-,1274):+:7:NC_000913.3	32	17	21	20	10	19	45	63	61	37	26	21	45	18	19	13	19	19	54	29	32	19	8	18	19	24	54	4	11	24	46	19	17	22	17	9
CDS:b1637:tyrS:tyrosyl-tRNA_synthetase:cds1626:-:1274:NC_000913.3	4975	2883	3882	3322	1385	3157	6747	9466	9925	5478	3648	3751	6415	2713	3217	1950	3478	2771	7343	6656	6535	3115	1345	2771	2970	4536	8735	881	1425	3245	6250	3208	2633	3335	2694	2324
AS_CDS:b1637:tyrS:tyrosyl-tRNA_synthetase:cds1626:-:1274:NC_000913.3	58	48	58	65	31	98	106	134	182	82	104	77	130	53	59	53	112	79	153	123	163	89	26	81	79	92	202	48	41	88	134	63	98	56	81	74
IGR:(CDS,b1637,tyrS,tyrosyl-tRNA_synthetase,cds1626,-,1274/CDS,b1638,pdxH,pyridoxine_5'-phosphate_oxidase,cds1627,-,656):+:77:NC_000913.3	3	2	2	4	2	2	1	3	3	4	7	3	3	2	3	2	4	5	3	2	5	3	3	4	1	3	12	1	3	0	0	1	4	2	1	0
AS_IGR:(CDS,b1637,tyrS,tyrosyl-tRNA_synthetase,cds1626,-,1274/CDS,b1638,pdxH,pyridoxine_5'-phosphate_oxidase,cds1627,-,656):+:77:NC_000913.3	118	58	106	90	59	94	132	230	216	152	118	96	132	68	83	45	92	82	166	156	164	100	30	69	82	137	253	26	44	114	160	82	84	108	115	78
CDS:b1638:pdxH:pyridoxine_5'-phosphate_oxidase:cds1627:-:656:NC_000913.3	651	627	936	949	404	697	1012	1829	2333	1545	886	853	781	476	675	367	712	560	941	1245	1454	588	299	704	483	985	2414	275	397	724	831	624	735	805	558	825
AS_CDS:b1638:pdxH:pyridoxine_5'-phosphate_oxidase:cds1627:-:656:NC_000913.3	31	13	21	27	21	26	26	67	64	33	51	25	47	13	21	28	29	38	55	28	62	33	3	39	31	32	64	11	27	27	24	14	41	32	29	13
IGR:(CDS,b1638,pdxH,pyridoxine_5'-phosphate_oxidase,cds1627,-,656/CDS,b1639,mliC,inhibitor_of_c-type_lysozyme%2C_membrane-bound%3B_putative_lipoprotein,cds1628,-,329):+:7:NC_000913.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AS_IGR:(CDS,b1638,pdxH,pyridoxine_5'-phosphate_oxidase,cds1627,-,656/CDS,b1639,mliC,inhibitor_of_c-type_lysozyme%2C_membrane-bound%3B_putative_lipoprotein,cds1628,-,329):+:7:NC_000913.3	15	14	21	19	9	17	23	40	50	27	20	23	17	9	12	9	18	14	18	21	25	12	6	15	11	19	47	8	9	14	19	11	14	16	12	16
CDS:b1639:mliC:inhibitor_of_c-type_lysozyme%2C_membrane-bound%3B_putative_lipoprotein:cds1628:-:329:NC_000913.3	131	141	259	170	180	255	170	505	447	308	276	387	203	89	158	200	373	247	176	261	320	223	73	277	94	137	396	105	106	221	143	82	136	213	210	245
AS_CDS:b1639:mliC:inhibitor_of_c-type_lysozyme%2C_membrane-bound%3B_putative_lipoprotein:cds1628:-:329:NC_000913.3	16	4	24	26	9	51	17	56	47	37	45	52	18	9	11	15	19	38	21	33	25	18	20	23	18	15	13	14	17	31	21	7	0	30	11	5
IGR:(CDS,b1639,mliC,inhibitor_of_c-type_lysozyme%2C_membrane-bound%3B_putative_lipoprotein,cds1628,-,329/CDS,b1640,anmK,anhydro-N-acetylmuramic_acid_kinase,cds1629,-,1109):+:46:NC_000913.3	4	2	9	8	5	15	6	19	26	14	19	19	5	3	5	8	9	13	9	15	8	6	6	9	8	6	5	6	4	10	7	3	0	13	4	4
AS_IGR:(CDS,b1639,mliC,inhibitor_of_c-type_lysozyme%2C_membrane-bound%3B_putative_lipoprotein,cds1628,-,329/CDS,b1640,anmK,anhydro-N-acetylmuramic_acid_kinase,cds1629,-,1109):+:46:NC_000913.3	15	32	70	44	29	73	30	101	87	77	93	113	39	29	47	54	68	57	46	47	63	69	28	72	17	30	79	29	46	78	22	24	39	84	69	55
CDS:b1640:anmK:anhydro-N-acetylmuramic_acid_kinase:cds1629:-:1109:NC_000913.3	208	247	492	308	313	671	351	851	860	504	726	998	353	280	464	473	705	566	320	516	485	659	357	757	216	355	597	266	375	691	303	196	213	676	734	629
AS_CDS:b1640:anmK:anhydro-N-acetylmuramic_acid_kinase:cds1629:-:1109:NC_000913.3	12	18	33	34	22	105	38	69	142	57	51	94	24	27	37	45	88	72	44	42	79	50	14	31	50	26	68	18	32	93	37	8	5	67	40	37
IGR:(CDS,b1640,anmK,anhydro-N-acetylmuramic_acid_kinase,cds1629,-,1109/CDS,b1641,slyB,outer_membrane_lipoprotein,cds1630,+,467):+:232:NC_000913.3	625	597	634	541	288	687	998	2050	2798	1010	546	363	799	328	559	295	621	505	1077	967	1376	326	108	282	388	841	1542	165	239	563	819	504	518	214	172	203
AS_IGR:(CDS,b1640,anmK,anhydro-N-acetylmuramic_acid_kinase,cds1629,-,1109/CDS,b1641,slyB,outer_membrane_lipoprotein,cds1630,+,467):+:232:NC_000913.3	7	10	15	21	9	34	17	71	37	22	24	31	22	11	11	16	38	17	26	13	16	16	8	18	19	30	23	6	12	52	21	4	14	19	16	17
CDS:b1641:slyB:outer_membrane_lipoprotein:cds1630:+:467:NC_000913.3	7163	5629	7393	5122	2891	7857	9464	19823	29016	9118	5015	4081	10035	3876	6712	3244	7833	6932	11328	10484	15455	3757	1502	3115	5083	10205	16454	1943	3567	8031	11069	5306	6105	3443	2898	3363
AS_CDS:b1641:slyB:outer_membrane_lipoprotein:cds1630:+:467:NC_000913.3	166	73	111	164	178	356	213	401	486	236	334	417	281	45	139	165	407	304	260	147	256	277	144	284	122	122	316	104	134	368	205	85	90	302	267	216
CDS:b1642:slyA:global_transcriptional_regulator:cds1631:-:434:NC_000913.3	1252	692	1069	1503	1232	2580	1668	3324	4274	2382	2526	3001	2078	498	1116	1468	3069	2174	1853	1548	2569	2162	1088	2028	967	1088	2722	900	1227	2855	1566	672	860	1936	1829	1695
AS_CDS:b1642:slyA:global_transcriptional_regulator:cds1631:-:434:NC_000913.3	1795	1418	2033	1206	553	1682	2195	4115	6133	1956	1094	732	2447	957	1561	624	1488	1235	2670	2459	3015	621	381	660	1214	2499	3851	362	670	1624	2654	1215	1909	926	563	723
IGR:(CDS,b1642,slyA,global_transcriptional_regulator,cds1631,-,434/CDS,b1643,ydhI,DUF1656_family_putative_inner_membrane_efflux_pump_associated_protein,cds1632,+,236):+:159:NC_000913.3	113	70	42	45	13	34	162	145	187	64	40	45	241	40	48	21	56	29	226	66	99	38	18	27	40	112	124	10	20	27	165	30	45	56	16	32
AS_IGR:(CDS,b1642,slyA,global_transcriptional_regulator,cds1631,-,434/CDS,b1643,ydhI,DUF1656_family_putative_inner_membrane_efflux_pump_associated_protein,cds1632,+,236):+:159:NC_000913.3	34	19	47	51	38	103	35	86	92	68	56	62	42	13	31	55	125	99	39	41	67	41	26	40	22	25	74	35	40	121	34	23	16	49	43	29
CDS:b1643:ydhI:DUF1656_family_putative_inner_membrane_efflux_pump_associated_protein:cds1632:+:236:NC_000913.3	201	103	139	138	65	104	238	369	509	269	116	177	329	64	64	63	168	138	336	168	290	106	53	103	142	151	299	34	62	103	266	60	86	141	65	135
AS_CDS:b1643:ydhI:DUF1656_family_putative_inner_membrane_efflux_pump_associated_protein:cds1632:+:236:NC_000913.3	5	2	11	19	27	52	14	29	26	8	18	7	28	9	21	73	112	88	27	15	33	2	6	6	10	7	56	36	68	116	5	9	5	20	3	2
CDS:b1644:ydhJ:putative_membrane_fusion_protein_MFP_of_YdhJK_efflux_pump:cds1633:+:857:NC_000913.3	364	159	268	245	122	201	448	583	635	465	220	253	511	160	146	168	214	149	481	339	487	184	107	152	219	419	585	69	117	193	485	204	163	231	148	178
